Results generated by BModes (v1.03.01, 25-Sept-2007, compiled using double precision) on 02-May-2016 at 10:27:33.
Sample non-uniform blade (output is space-delimited)                                               
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first  20 modes printed


 -------- Mode No.   1  (freq = 0.74401E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist
 0.3000	-0.002128	 0.025056	-0.001334	 0.007549	 0.042626
 0.3250	 	 	 	 	 0.012329
 0.3500	-0.000530	 0.039282	-0.000786	 0.014754	-0.024306
 0.3750	 	 	 	 	-0.067286
 0.4000	 0.001337	 0.035489	 0.000005	 0.017457	-0.105290
 0.4250	 	 	 	 	-0.133333
 0.4500	 0.002431	 0.007959	 0.000776	 0.014045	-0.148882
 0.4750	 	 	 	 	-0.151010
 0.5000	 0.001694	-0.037394	 0.001238	 0.005074	-0.137392
 0.5250	 	 	 	 	-0.106299
 0.5500	-0.001127	-0.073453	 0.001209	-0.005659	-0.067784
 0.5750	 	 	 	 	-0.019093
 0.6000	-0.004517	-0.058143	 0.000729	-0.013336	 0.018443
 0.6250	 	 	 	 	 0.044323
 0.6500	-0.005340	 0.026921	 0.000025	-0.015337	 0.042211
 0.6750	 	 	 	 	 0.004025
 0.7000	-0.001322	 0.124631	-0.000645	-0.012782	-0.055269
 0.7250	 	 	 	 	-0.139118
 0.7500	 0.004511	 0.092709	-0.001191	-0.010240	-0.201777
 0.7750	 	 	 	 	-0.234193
 0.8000	 0.005071	-0.072003	-0.001559	-0.004384	-0.209862
 0.8250	 	 	 	 	-0.109472
 0.8500	-0.001894	-0.182787	-0.001393	 0.012274	 0.016154
 0.8750	 	 	 	 	 0.156159
 0.9000	-0.007992	-0.034308	-0.000270	 0.033820	 0.239326
 0.9250	 	 	 	 	 0.260651
 0.9500	-0.001457	 0.284974	 0.001799	 0.049946	 0.210862
 0.9750	 	 	 	 	-0.022209
 1.0000	 0.021479	 0.554366	 0.004489	 0.058666	-0.141257


 -------- Mode No.  11  (freq = 0.18397E+02 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0250	 	 	 	 	-0.000688
 0.0500	 0.000211	 0.008256	-0.000584	-0.022848	-0.001366
 0.0750	 	 	 	 	-0.002584
 0.1000	 0.000816	 0.016149	-0.002199	-0.042531	-0.003763
 0.1250	 	 	 	 	-0.006422
 0.1500	 0.001722	 0.020368	-0.004573	-0.053410	-0.008861
 0.1750	 	 	 	 	-0.011787
 0.2000	 0.002624	 0.016244	-0.006973	-0.044429	-0.014060
 0.2250	 	 	 	 	-0.023261
 0.2500	 0.003084	 0.002171	-0.008445	-0.015198	-0.026370
 0.2750	 	 	 	 	-0.022540
 0.3000	 0.002725	-0.016913	-0.008171	 0.027019	-0.011901
 0.3250	 	 	 	 	 0.005560
 0.3500	 0.001509	-0.032398	-0.005839	 0.069070	 0.026683
 0.3750	 	 	 	 	 0.051716
 0.4000	-0.000189	-0.036284	-0.001766	 0.098251	 0.073908
 0.4250	 	 	 	 	 0.090725
 0.4500	-0.001659	-0.023092	 0.003182	 0.104667	 0.100604
 0.4750	 	 	 	 	 0.102706
 0.5000	-0.002068	 0.006188	 0.007726	 0.081189	 0.094682
 0.5250	 	 	 	 	 0.074612
 0.5500	-0.000948	 0.037255	 0.010409	 0.028250	 0.047598
 0.5750	 	 	 	 	 0.010016
 0.6000	 0.001155	 0.044414	 0.009912	-0.048703	-0.023648
 0.6250	 	 	 	 	-0.056487
 0.6500	 0.002528	 0.008848	 0.005469	-0.131886	-0.072331
 0.6750	 	 	 	 	-0.069772
 0.7000	 0.001379	-0.050764	-0.002277	-0.182036	-0.048235
